"FinancialYear","HBT","Dataset","DatasetQF","NumberOfAdmissions","NumberOfDischarges","NumberOfStays","NumberOfPatients","NumberOfHospitalResidents","NumberOfHospitalResidentsQF"
"1998/99","S08000026","SMR04"," ",0,0,0,0,"0"," "
"1998/99","S08000030","Total","d",3650,3740,3330,2590,"700"," "
"1998/99","S08000030","SMR01"," ",730,730,680,590," ",":"
"1998/99","S08000030","SMR04"," ",2920,3000,2650,2080,"700"," "
"1998/99","S08000028","Total","d",190,170,170,140,"40"," "
"1998/99","S08000028","SMR01"," ",130,130,130,110," ",":"
"1998/99","S08000028","SMR04"," ",50,40,40,40,"40"," "
"1998/99","SB0802","Total","d",80,60,20,60,"250"," "
"1998/99","SB0802","SMR01"," ",0,0,0,0," ",":"
"1998/99","SB0802","SMR04"," ",80,60,20,60,"250"," "
"1999/00","S08000015","Total","d",3260,3280,3070,2170,"450"," "
"1999/00","S08000015","SMR01"," ",810,820,770,660," ",":"
"1999/00","S08000015","SMR04"," ",2440,2460,2300,1630,"450"," "
"1999/00","S08000016","Total","d",880,880,760,600,"120"," "
"1999/00","S08000016","SMR01"," ",220,220,210,190," ",":"
"1999/00","S08000016","SMR04"," ",660,660,550,440,"120"," "
"1999/00","S08000017","Total","d",970,1000,920,740,"200"," "
"1999/00","S08000017","SMR01"," ",240,240,220,200," ",":"
"1999/00","S08000017","SMR04"," ",720,760,700,570,"200"," "
"1999/00","S08000029","Total","d",2220,2250,1970,1480,"450"," "
"1999/00","S08000029","SMR01"," ",350,350,290,280," ",":"
"1999/00","S08000029","SMR04"," ",1870,1900,1680,1240,"450"," "
"1999/00","S08000019","Total","d",1520,1550,1360,1100,"300"," "
"1999/00","S08000019","SMR01"," ",330,330,310,270," ",":"
"1999/00","S08000019","SMR04"," ",1190,1220,1050,860,"300"," "
"1999/00","S08000020","Total","d",3540,3530,3180,2440,"610"," "
"1999/00","S08000020","SMR01"," ",1000,1000,920,820," ",":"
"1999/00","S08000020","SMR04"," ",2540,2530,2260,1720,"610"," "
"1999/00","S08000031","Total","d",11110,11210,9970,7930,"1900"," "
"1999/00","S08000031","SMR01"," ",2810,2810,2510,2260," ",":"
"1999/00","S08000031","SMR04"," ",8300,8400,7460,5900,"1900"," "
"1999/00","S08000022","Total","d",3310,3310,3150,2240,"350"," "
"1999/00","S08000022","SMR01"," ",1130,1120,1050,860," ",":"
"1999/00","S08000022","SMR04"," ",2180,2180,2100,1530,"350"," "
"1999/00","S08000032","Total","d",3810,3850,3420,2660,"630"," "
"1999/00","S08000032","SMR01"," ",860,880,820,710," ",":"
"1999/00","S08000032","SMR04"," ",2940,2970,2610,2040,"630"," "
"1999/00","S08000024","Total","d",6340,6450,5780,4280,"970"," "
"1999/00","S08000024","SMR01"," ",1150,1150,1020,950," ",":"
"1999/00","S08000024","SMR04"," ",5190,5300,4760,3440,"970"," "
"1999/00","S08000025","Total","d",60,60,50,50,"0"," "
"1999/00","S08000025","SMR01"," ",60,60,50,50," ",":"
"1999/00","S08000025","SMR04"," ",0,0,0,0,"0"," "
"1999/00","S08000026","Total","d",100,100,90,80,"0"," "
"1999/00","S08000026","SMR01"," ",100,100,90,80," ",":"
"1999/00","S08000026","SMR04"," ",0,0,0,0,"0"," "
"1999/00","S08000030","Total","d",3340,3390,3090,2430,"650"," "
"1999/00","S08000030","SMR01"," ",670,670,640,580," ",":"
"1999/00","S08000030","SMR04"," ",2670,2720,2460,1930,"650"," "
"1999/00","S08000028","Total","d",330,340,330,220,"30"," "
"1999/00","S08000028","SMR01"," ",160,160,160,120," ",":"
"1999/00","S08000028","SMR04"," ",180,180,170,110,"30"," "
"1999/00","SB0802","Total","d",70,80,20,80,"240"," "
"1999/00","SB0802","SMR01"," ",0,0,0,0," ",":"
"1999/00","SB0802","SMR04"," ",70,80,20,80,"240"," "
"2000/01","S08000015","Total","d",3090,3110,2920,2110,"420"," "
"2000/01","S08000015","SMR01"," ",760,760,730,610," ",":"
"2000/01","S08000015","SMR04"," ",2330,2350,2190,1580,"420"," "
"2000/01","S08000016","Total","d",840,830,750,580,"130"," "
"2000/01","S08000016","SMR01"," ",200,210,200,180," ",":"
"2000/01","S08000016","SMR04"," ",630,620,550,420,"130"," "
"2000/01","S08000017","Total","d",1070,1100,970,790,"160"," "
"2000/01","S08000017","SMR01"," ",250,240,220,190," ",":"
"2000/01","S08000017","SMR04"," ",820,860,760,630,"160"," "
"2000/01","S08000029","Total","d",2070,2090,1830,1420,"430"," "
"2000/01","S08000029","SMR01"," ",360,360,300,270," ",":"
"2000/01","S08000029","SMR04"," ",1710,1730,1530,1170,"430"," "
"2000/01","S08000019","Total","d",1580,1570,1370,1100,"320"," "
"2000/01","S08000019","SMR01"," ",270,280,260,250," ",":"
"2000/01","S08000019","SMR04"," ",1310,1300,1110,870,"320"," "
"2000/01","S08000020","Total","d",3670,3710,3160,2470,"570"," "
"2000/01","S08000020","SMR01"," ",1000,1000,920,810," ",":"
"2000/01","S08000020","SMR04"," ",2670,2700,2250,1730,"570"," "
"2000/01","S08000031","Total","d",10590,10670,9610,7490,"1820"," "
"2000/01","S08000031","SMR01"," ",2640,2640,2360,2110," ",":"
"2000/01","S08000031","SMR04"," ",7940,8030,7250,5610,"1820"," "
"2000/01","S08000022","Total","d",3580,3600,3260,2300,"350"," "
"2000/01","S08000022","SMR01"," ",1240,1260,1170,930," ",":"
"2000/01","S08000022","SMR04"," ",2340,2340,2100,1540,"350"," "
"2000/01","S08000032","Total","d",3850,3860,3380,2580,"630"," "
"2000/01","S08000032","SMR01"," ",880,880,780,670," ",":"
"2000/01","S08000032","SMR04"," ",2970,2970,2590,1980,"630"," "
"2000/01","S08000024","Total","d",6060,6100,5350,4040,"930"," "
"2000/01","S08000024","SMR01"," ",1120,1120,980,890," ",":"
"2000/01","S08000024","SMR04"," ",4940,4970,4380,3260,"930"," "
"2000/01","S08000025","Total","d",80,70,70,60,"0"," "
"2000/01","S08000025","SMR01"," ",80,70,70,60," ",":"
"2000/01","S08000025","SMR04"," ",0,0,0,0,"0"," "
"2000/01","S08000026","Total","d",90,100,100,80,"0"," "
"2000/01","S08000026","SMR01"," ",90,100,100,80," ",":"
"2000/01","S08000026","SMR04"," ",0,0,0,0,"0"," "
"2000/01","S08000030","Total","d",3210,3270,2990,2320,"600"," "
"2000/01","S08000030","SMR01"," ",600,600,580,540," ",":"
"2000/01","S08000030","SMR04"," ",2620,2660,2410,1840,"600"," "
"2000/01","S08000028","Total","d",330,330,310,210,"30"," "
"2000/01","S08000028","SMR01"," ",140,140,140,110," ",":"
"2000/01","S08000028","SMR04"," ",190,190,170,110,"30"," "
"2000/01","SB0802","Total","d",100,110,30,100,"230"," "
"2000/01","SB0802","SMR01"," ",0,0,0,0," ",":"
"2000/01","SB0802","SMR04"," ",100,110,30,100,"230"," "
"2001/02","S08000015","Total","d",3090,3130,2900,2090,"390"," "
"2001/02","S08000015","SMR01"," ",800,800,760,630," ",":"
"2001/02","S08000015","SMR04"," ",2290,2330,2140,1550,"390"," "
"2001/02","S08000016","Total","d",920,930,840,640,"110"," "
"2001/02","S08000016","SMR01"," ",270,260,250,210," ",":"
"2001/02","S08000016","SMR04"," ",650,660,590,460,"110"," "
"2001/02","S08000017","Total","d",1070,1080,970,780,"150"," "
"2001/02","S08000017","SMR01"," ",300,300,260,240," ",":"
"2001/02","S08000017","SMR04"," ",770,780,710,570,"150"," "
"2001/02","S08000029","Total","d",2170,2180,1840,1460,"420"," "
"2001/02","S08000029","SMR01"," ",340,330,290,280," ",":"
"2001/02","S08000029","SMR04"," ",1840,1840,1550,1220,"420"," "
"2001/02","S08000019","Total","d",1540,1560,1380,1100,"290"," "
"2001/02","S08000019","SMR01"," ",260,260,250,230," ",":"
"2001/02","S08000019","SMR04"," ",1280,1300,1140,890,"290"," "
"2001/02","S08000020","Total","d",3530,3550,3130,2400,"560"," "
"2001/02","S08000020","SMR01"," ",1060,1060,980,870," ",":"
"2001/02","S08000020","SMR04"," ",2470,2500,2150,1600,"560"," "
"2001/02","S08000031","Total","d",10480,10560,9180,7250,"1750"," "
"2001/02","S08000031","SMR01"," ",2830,2840,2400,2160," ",":"
"2001/02","S08000031","SMR04"," ",7650,7710,6790,5320,"1750"," "
"2001/02","S08000022","Total","d",3000,3040,2890,2090,"310"," "
"2001/02","S08000022","SMR01"," ",1050,1050,980,810," ",":"
"2001/02","S08000022","SMR04"," ",1950,1990,1910,1410,"310"," "
"2001/02","S08000032","Total","d",3690,3710,3260,2550,"600"," "
